time,e1,e2,e3,e4,e5,e6,e7,e8
5.086,39,82,38,64,371,209,44,70
5.101,39,77,34,63,448,207,41,74
5.124,42,92,49,72,454,215,46,83
5.146,44,108,68,81,448,222,58,85
5.161,44,104,69,82,455,173,72,90
5.186,43,105,75,88,409,172,76,93
5.208,42,106,75,84,325,196,93,101
5.221,45,107,84,110,370,175,94,108
5.244,43,98,72,105,397,160,87,102
5.266,47,99,72,101,360,179,79,100
5.281,49,99,79,106,456,178,78,95
5.304,51,99,83,116,464,157,71,78
5.345,47,106,75,99,422,154,81,123
5.357,56,125,96,115,393,170,81,129
5.381,58,165,114,125,428,150,83,129
5.403,59,169,110,117,353,142,83,131
5.409,105,176,120,122,356,183,76,137
5.431,109,182,122,121,388,205,70,113
5.448,111,188,115,116,406,202,67,110
5.471,110,152,96,104,360,202,62,109
5.486,110,149,106,115,328,212,60,106
5.506,68,146,97,105,299,174,56,97
5.537,62,131,100,108,305,282,53,60
5.544,51,112,101,109,298,279,50,69
5.581,49,126,110,120,319,288,54,67
5.596,44,122,99,113,331,290,60,68
5.619,48,132,111,119,379,294,62,69
5.65,47,141,119,112,345,166,56,61
5.652,49,134,119,117,328,157,55,46
5.671,54,130,128,134,406,151,58,45
5.696,58,143,132,139,390,143,55,80
5.719,56,141,120,135,338,134,50,83
5.724,58,138,123,150,352,125,55,84
5.746,68,159,159,184,400,130,60,85
5.761,74,186,189,206,319,117,57,85
5.784,77,194,201,224,329,107,53,52
5.821,74,183,199,224,435,110,52,44
5.838,71,172,186,212,430,110,50,44
5.859,75,167,170,190,393,107,52,46
5.876,68,165,149,173,425,101,49,48
5.883,62,148,128,144,432,100,44,69
5.904,62,149,129,141,346,99,45,70
5.941,65,152,139,148,443,99,44,70
5.958,52,146,117,127,465,95,35,66
5.964,47,121,96,92,461,94,37,73
5.986,50,124,106,109,452,79,42,75
6.009,53,124,110,112,467,76,48,89
6.026,56,130,107,121,416,67,50,104
6.048,50,116,101,117,410,59,52,110
6.078,48,93,84,110,399,53,50,108
6.092,46,88,74,90,432,56,56,129
6.114,41,86,66,92,477,50,51,120
6.138,33,67,53,79,481,56,49,106
6.184,39,97,65,80,540,64,54,115
6.186,37,103,66,78,542,64,56,115
6.205,35,97,60,77,532,65,47,94
6.207,36,96,59,68,477,64,46,97
6.228,34,97,58,57,472,66,44,97
6.249,33,65,55,66,420,77,59,86
6.272,38,91,57,70,369,79,60,82
6.295,41,96,55,70,377,150,61,59
6.317,42,98,55,66,355,182,64,54
6.332,41,100,57,64,304,228,70,53
6.346,37,100,46,55,307,244,54,55
6.369,37,83,49,58,354,266,59,77
6.384,37,102,50,65,374,266,59,78
6.406,39,107,49,63,416,249,58,78
6.429,39,105,47,68,415,211,55,82
6.444,51,118,58,81,372,220,55,79
6.466,54,133,63,85,331,199,53,75
6.497,57,129,76,90,288,175,60,76
6.504,62,138,87,106,327,177,63,80
6.534,66,146,89,107,345,194,67,78
6.566,67,158,87,100,377,199,71,76
6.588,68,171,94,96,391,195,75,64
6.609,68,168,100,99,378,176,71,63
6.616,66,165,100,93,351,174,70,87
6.631,64,162,105,93,389,191,68,87
6.654,60,152,110,104,368,165,62,81
6.671,54,117,99,108,356,165,52,76
6.7,52,107,96,106,363,169,48,82
6.706,47,102,89,100,382,162,42,58
6.729,50,98,87,120,332,112,38,54
6.744,47,100,89,119,319,185,39,77
6.766,66,143,140,149,355,194,42,83
6.789,65,160,143,148,341,195,42,75
6.804,65,157,145,152,279,208,47,75
6.828,62,154,142,146,339,217,47,75
6.851,64,141,136,140,346,146,45,50
6.871,48,111,104,121,324,130,46,42
6.894,59,114,112,146,349,131,54,48
6.909,67,133,131,161,385,113,58,77
6.931,67,137,131,152,328,99,54,80
6.946,62,136,128,150,376,93,53,81
6.969,66,137,131,164,374,101,55,82
6.991,58,125,121,148,357,88,43,78
7.014,50,110,100,135,380,93,34,48
7.037,52,110,104,142,398,85,37,63
7.06,52,110,108,147,350,83,39,62
7.066,43,102,89,130,368,78,33,58
7.089,43,90,84,127,399,91,39,63
7.112,41,81,75,116,326,81,40,63
7.126,39,76,70,102,297,81,37,43
7.148,40,90,89,113,373,93,43,43
7.186,43,94,93,114,353,95,47,43
7.195,45,105,91,116,313,84,51,85
7.209,45,106,91,116,350,84,52,85
7.232,46,108,92,119,377,89,55,86
7.246,46,98,66,100,300,74,50,91
7.277,42,87,50,79,308,62,45,103
7.3,36,67,41,67,387,64,41,107
7.323,36,66,45,66,350,63,43,120
7.338,34,67,41,64,365,53,42,121
7.361,31,59,40,61,407,53,43,126
7.382,32,62,40,59,425,61,45,117
7.389,31,58,47,68,365,99,41,91
7.412,41,74,44,76,380,106,47,102
7.426,44,81,45,74,352,112,47,107
7.449,46,82,53,78,327,156,56,100
7.473,45,79,51,76,279,156,54,100
7.487,52,83,48,60,287,139,55,96
7.509,47,79,54,56,269,208,52,78
7.532,42,75,60,59,297,244,52,74
7.546,45,90,60,62,290,225,48,79
7.569,50,97,62,68,295,224,48,88
7.592,45,104,62,76,297,223,45,85
7.606,48,126,69,91,341,224,40,81
7.629,52,129,72,99,311,219,50,93
7.651,49,128,74,105,294,219,45,94
7.674,45,127,79,110,295,222,48,94
7.708,42,132,78,111,291,221,61,96
7.728,46,135,83,111,262,161,63,93
7.751,48,138,80,102,245,110,61,100
7.766,49,136,75,96,242,157,69,97
7.786,53,143,77,92,309,164,70,93
7.794,55,158,100,100,287,166,59,93
7.817,67,140,90,85,261,160,57,90
7.833,89,134,101,100,287,157,51,73
7.854,95,145,119,115,317,104,41,74
7.877,94,141,115,112,265,101,35,73
7.9,94,113,97,104,257,104,35,76
7.914,82,110,99,103,327,121,39,90
7.929,59,122,107,107,322,121,44,85
7.96,60,126,105,110,334,121,48,81
7.982,63,126,110,117,329,110,51,77
7.989,62,133,115,121,340,105,51,71
8.011,69,147,124,144,296,86,51,75
8.049,68,138,110,151,356,82,46,71
8.064,66,135,99,138,322,79,45,67
8.086,67,132,98,136,327,73,43,66
8.101,69,137,97,138,371,78,46,68
8.118,62,122,88,128,372,115,48,38
8.146,63,134,85,110,323,122,51,71
8.153,58,121,88,114,343,127,50,79
8.171,50,117,79,111,358,129,48,78
8.192,49,100,79,123,349,125,47,76
8.222,50,103,76,116,388,130,46,76
8.229,43,81,72,111,395,125,42,43
8.251,40,75,58,100,369,125,36,27
8.274,43,77,65,97,400,122,37,29
8.289,41,79,59,71,368,168,35,89
8.311,36,67,52,72,347,146,31,91
8.335,37,73,55,69,419,147,37,98
8.349,35,68,58,76,464,144,40,99
8.372,35,87,60,82,423,143,44,103
8.395,33,82,57,81,457,85,43,63
8.409,36,93,56,72,440,66,42,81
8.434,34,99,54,72,380,59,36,77
8.456,36,105,51,66,330,69,36,80
8.495,35,93,42,55,345,83,40,81
8.514,43,103,41,52,346,80,42,88
8.547,45,112,47,52,343,89,48,100
8.549,48,117,60,73,303,105,49,106
8.56,48,116,66,78,326,95,50,107
8.574,47,111,63,79,428,86,41,108
8.588,41,107,64,80,416,113,43,101
