time,e1,e2,e3,e4,e5,e6,e7,e8
4.778,279,261,117,62,82,140,188,276
4.793,293,274,125,70,92,158,194,292
4.816,301,285,131,77,107,174,200,301
4.839,307,288,134,84,127,183,201,302
4.854,313,293,138,90,131,181,202,303
4.877,320,306,140,88,135,172,192,297
4.899,316,307,142,85,132,166,185,288
4.914,320,307,142,85,126,156,183,287
4.937,329,314,150,84,116,160,194,293
4.958,332,312,153,79,115,160,197,300
4.974,327,303,149,81,112,164,200,301
4.997,327,298,142,79,107,162,214,305
5.019,315,293,141,75,103,160,212,301
5.034,303,281,128,70,102,156,202,294
5.057,291,273,122,73,99,162,197,286
5.079,291,274,122,76,99,168,199,288
5.093,296,280,135,80,104,172,197,297
5.116,307,290,139,93,119,180,204,308
5.139,317,301,152,99,132,187,212,318
5.154,327,314,160,102,132,184,218,322
5.177,331,321,164,101,135,181,216,322
5.199,330,318,156,103,138,176,206,317
5.214,327,313,156,91,125,170,201,309
5.236,322,309,150,89,111,164,192,302
5.259,321,301,141,82,109,164,188,301
5.274,316,295,140,79,110,161,191,301
5.297,309,290,134,75,103,157,197,297
5.319,307,283,129,75,108,155,197,295
5.334,304,276,122,70,105,155,201,292
5.357,294,269,126,71,99,147,199,288
5.379,292,269,120,71,98,153,197,288
5.394,297,278,131,73,101,164,197,299
5.417,299,289,141,78,110,170,200,304
5.44,306,300,147,87,122,175,202,307
5.454,315,317,151,93,130,187,205,313
5.476,325,325,160,107,133,189,208,315
5.499,330,327,161,111,144,182,210,314
5.514,336,326,159,108,143,182,208,315
5.537,331,320,157,103,134,172,203,313
5.559,318,305,146,104,137,154,193,298
5.574,301,289,162,102,152,152,181,281
5.596,282,278,206,115,172,167,161,259
5.619,262,273,297,149,222,218,192,245
5.634,257,319,390,184,278,302,250,246
5.657,239,314,436,193,296,341,278,236
5.679,224,309,449,197,305,356,295,231
5.696,218,313,447,191,301,359,312,228
5.716,215,329,411,177,281,349,306,241
5.739,221,310,341,146,240,292,275,236
5.754,258,349,303,143,234,267,264,263
5.776,290,377,289,133,216,259,264,286
5.799,303,382,266,132,202,251,253,291
5.822,304,363,237,117,180,220,232,274
5.836,284,326,212,109,157,202,205,253
5.859,248,270,174,91,123,173,178,223
5.882,208,219,137,85,113,139,142,181
5.897,176,177,117,77,100,116,119,150
5.919,148,145,101,71,89,100,108,128
5.942,130,131,86,70,89,88,98,121
5.956,121,119,81,65,84,78,89,104
5.979,111,104,70,59,75,65,86,93
6.002,97,85,59,56,71,57,78,89
6.017,88,77,47,56,73,60,75,80
6.039,89,73,46,52,73,56,73,75
6.062,86,67,45,52,76,60,70,76
6.077,83,62,44,60,74,62,69,79
6.099,77,62,48,58,76,59,73,79
6.122,75,61,48,57,70,55,67,83
6.145,72,63,50,58,70,55,67,83
6.159,73,67,51,57,66,52,69,82
6.182,73,72,53,51,65,51,67,74
6.196,79,77,49,54,65,56,63,73
6.219,84,78,49,56,66,56,68,73
6.242,84,75,49,53,63,58,68,75
6.256,88,70,51,59,73,61,68,78
6.279,88,69,51,60,74,61,66,85
6.302,96,73,56,57,75,57,64,85
6.316,133,133,86,53,77,72,80,125
6.339,193,206,128,66,99,109,123,175
6.361,210,227,138,63,96,117,127,190
6.377,218,237,144,68,99,119,134,198
6.4,221,242,145,71,105,127,139,206
6.422,205,222,135,73,103,120,133,188
6.437,153,163,99,63,85,89,100,142
6.459,125,132,85,61,76,76,91,120
6.482,118,115,75,55,70,76,84,112
